episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.9990,1.000,1.000,,,,,
50,0.9512,-0.280,0.340,,,,,
100,0.9048,-0.240,0.360,0.0018458140548318624,2.1681554317474365,0.018228912726044655,0.6868574023246765,1.0
150,0.8606,-0.080,0.440,0.004731807857751846,1.6640994548797607,0.051831990480422974,0.2713720202445984,1.0
200,0.8186,0.000,0.480,0.0038282901514321566,1.5996208190917969,0.028602007776498795,0.37167274951934814,1.0
250,0.7787,-0.070,0.440,0.0023096371442079544,1.6484264135360718,0.02135826274752617,0.34903478622436523,1.0
300,0.7407,0.060,0.510,0.007613728754222393,2.0577073097229004,0.09186602383852005,0.22620084881782532,1.0
