episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
30050,0.0100,-0.140,0.420,,,,,
30100,0.0100,-0.110,0.440,0.0009821398416534066,0.8544915914535522,0.006744279991835356,0.25993120670318604,1.0
30150,0.0100,-0.100,0.450,0.0005119371926411986,0.39768919348716736,0.006991665344685316,0.197499081492424,1.0
30200,0.0100,-0.090,0.450,0.0011706495424732566,0.5811989307403564,0.005258898716419935,0.24312759935855865,1.0
30250,0.0100,-0.080,0.450,0.0032539954409003258,0.48962610960006714,0.015850050374865532,0.2525262236595154,1.0
30300,0.0100,-0.070,0.450,0.0015732834581285715,0.5326040387153625,0.04501006379723549,0.2507287859916687,1.0
30350,0.0100,-0.050,0.460,0.0013607111759483814,0.5592021942138672,0.011856136843562126,0.25217264890670776,1.0
30400,0.0100,-0.030,0.470,0.0014394735917448997,0.5505421161651611,0.010761142708361149,0.20982792973518372,1.0
30450,0.0100,-0.120,0.430,0.001323040807619691,0.5798193216323853,0.008349956944584846,0.21682874858379364,1.0
30500,0.0100,-0.240,0.380,0.001829800894483924,0.5015456676483154,0.01464255340397358,0.26359397172927856,1.0
30550,0.0100,-0.190,0.400,0.0016473912401124835,0.3650299310684204,0.011467519216239452,0.24208803474903107,1.0
30600,0.0100,0.010,0.500,0.0016521215438842773,0.33902955055236816,0.01400777604430914,0.23901303112506866,1.0
30650,0.0100,0.180,0.580,0.000990537111647427,0.3784264922142029,0.01040565688163042,0.17188429832458496,1.0
