episode,epsilon,avg_reward,win_rate,loss,mean_q,grad_norm,mean_td_error,beta
1,0.0500,1.000,1.000,,,,,
50,0.0488,0.320,0.620,,,,,
100,0.0476,0.350,0.650,8.814736065687612e-05,0.9474098682403564,0.006673683878034353,0.07016371190547943,1.0
150,0.0464,0.330,0.650,0.00021153397392481565,1.0665446519851685,0.005161251872777939,0.09073522686958313,1.0
200,0.0452,0.220,0.590,0.0002048674796242267,1.0746581554412842,0.00245839636772871,0.1050611212849617,1.0
250,0.0441,0.290,0.630,0.00022049390827305615,1.2262170314788818,0.003116865875199437,0.0954538881778717,1.0
300,0.0430,0.420,0.700,0.0001311018131673336,1.327666163444519,0.0019368755165487528,0.07734660804271698,1.0
350,0.0420,0.310,0.650,0.0006721997051499784,1.3744014501571655,0.004962868057191372,0.12478320300579071,1.0
